darwin	amd64	QmUuKeMKEpkzJrPXCbWfwvfxhU6xpurHTj4rkp9wah1pfd
darwin	386	QmUqQcah1TLhcf7VzqwRnn44XEMTiBXHCKEk36DanZZ3ai
linux	amd64	QmPEmE1CaZjNLoFrDrSic4cJUDG6i8bAX68pQJ1rCZkbBH
linux	386	QmXjimrPrnoA3ZUwM4Dn6b3Gdp7VTUNR55vCUU1iHxiR46
